country_name,alt_country_name,capital,alt_location,place_to_visit,place_to_eat,place_to_stay,country_pop(m),category(s),crime_rate,safety_index,tourist_development_index,touritisity(1-5)
Afghanistan,,Kabul,Ghazni,Babur Garden,Bukhara Restaurant,Afghania Guest House,41.45,"historical, religious, cultural",78.3,21.7,4.01,
Albania,,Tirana,Berat,The Blue Eye,Odas Garden,Villa Festim Ksamil,2.746,"natural beauty, historical, cultural",45.6,54.4,3.87,
Algeria,,Algiers,Oran,Martyrs Memorial,Zhori Restaurant,Clypso Home,46.16,"historical, natural beauty, cultural",52.2,47.8,3.42,
American Samoa,,Pago Pago,Tafuna,National Park of American Samoa,Goat Island Cafe,Saletoga Sands Resort & Spa,0.047521,"natural beauty, cultural, ",62,38,4.01,
Andorra,,Andorra La Vella,Encamp,Mirador Roc Del Quer,Restaurant 120,Glaner Hotel Café,0.080856,"adventure, natural beauty",12.9,87.1,4.01,
Angola,,Luanda,Kuito,Calandula Falls,Village Kitchen,Ritz Capital,36.75,"natural beauty, artistic",66.5,33.5,3.05,
Antigua and Barbuda,,Saint John's,Potters Village,Nelson's Dockyard,Five Senses Antigua,Pinkshack Studio Cottage,0.093316,"tropical paradise, culture, foodie",62,38,4.01,
Argentina,,Buenos Aires,Rosario,Parque Nacional Tierra del Fuego,The Argentine Experience,El Chabot Fan,45.54,"cultural, natural beauty, foodie, artistic",64.2,35.8,4.1,
Armenia,,Yerevan,Gyumri,Greco-Roman Sun temple in Garni,Tavern Yerevan,Elegant Hotel & Resort,2.991,"historical, artistic, natural beauty, religious",22.4,77.6,3.73,
Aruba,,Oranjestad,San Nicolas,Eagle Beach,Faro Blanco Restaurant,Caribbean Palm Village Resort,0.107359,"cultural, tropical paradise, artistic, natural beauty",62,38,4.01,
Australia,,Canberra,Sydney,Taronga Zoo Sydney,Bennelong,Blue Lagoon Beach Resort,26.66,"natural beauty, wildlife, historical",47.1,52.9,5,
Austria,,Vienna,Graz,Schönbrunn Palace,Griechenbeisl,MEININGER Hotel Salzburg,9.132,"artistic, cultural, adventure, religious, foodie",29.3,70.7,4.65,
Azerbaijan ,,Baku,Ganja,Baku Old City,Passage 145,SAHIL Hostel & Hotel,10.15,"natural beauty, historical, cultural",31.6,68.4,3.98,
The Bahamas,Bahamas,Nassau,Freeport,Queen's Staircase,Sugar Factory,Lighthouse Pointe at Grand,0.39944,"tropical paradise, adventure, artistic",56.5,43.5,4.01,
Bahrain,,Manama,Hamad Town,The Lost Paradise of Dilmun Water Park,Origin Kitchen & Culture,Elite Seef Residence & Hotel,1.577,"religious, cultural, historical, adventure",23.9,76.1,3.96,
Bangladesh,,Dhaka,Chittagong,Sajek Valley,Star Kabab & Restaurant,Hotel Noorjahan Grand,171.5,"cultural, artistic, historical",61.5,38.5,3.19,
Barbados,,Bridgetown,Saint James,Animal Flower Cave & Restaurant,The Tides Barbados,Radisson Aquatica Resort,0.282336,"tropical paradise, cultural",47.1,52.9,3.71,
Belarus,,Minsk,Mogilev,National Library of Republic of Belarus,The View,Hotel Belarus,9.178,"historical, cultural",50.8,49.2,4.01,
Belgium,,Ciry of Brussels,Ghent,Castle of the Counts,Parkrestaurant,B&B Hotel Brussels Centre,11.79,"historical, artistic, foodie",49.2,50.8,4.45,
Belize,,Belmopan,San Ignacio,Great Blue Hole,Blue Water Grill,Ramada by Wyndham Princess,0.411106,"tropical paradise, adventure, wildlife",53,47,4.01,
Benin,,Porto-Novo,Parakou,Pythons Temple,Face A La Mer,Le Village d'Héléne - Natura Resort,14.11,"historical, cultural",62,38,3.16,
Bermuda,,Hamilton,Saint George's,Crystal and Fantasy Caves,Frog & Onion Pub and Restaurant,Hamilton Princess & Beach,0.064698,"tropical paradise, natural beauty, cultural, adventure",62,38,4.01,
Bhutan,,Thimphu,Paro,Punakha Dzong,Zombala Restaurant,Zhiwaling Heritage Hotel,0.786385,"natural beauty, religious, cultural",62,38,4.01,
Bolivia,,Sucre,Santa Cruz de la Sierra,The Witches Market,Gustu,Hotel Palacio de Sal,12.24,"natural beauty, adventure, cultural",64.6,35.4,3.45,
Bosnia and Herzegovina,BandH,Sarajevo,Zenica,Tunnel of Salvation,Klopa,Kruna,3.185,"historical, cultural, natural beauty",62,38,3.51,
Botswana,,Gaborone,Serowe,Mokolodi Nature Reserve,Two Six Seven,Tuli Wilderness,2.48,"wildlife, adventure",52.2,47.8,4.01,
Brazil,,Brasília,Rio de Janeiro,Christ the Redeemer,A Figueira Rubaiyat,Rede Andrade Comfort Hotel,211.1,"natural beauty, cultural, foodie",65.6,34.4,4.41,
Brunei,,Bandar Seri Begawan,Muara,Omar Ali Saifuddien Mosque,Palate Restaurant,Higher Hotel,0.458949,"religious, cultural",29.5,70.5,4.01,
Bulgaria,,Sofia,Veliko Tarnovo,Rila Monestery,Chevermeto,Sunset Art Hotel,6.447,"historical, natural beauty, cultural",37.1,62.9,4.25,
Burkina Faso,,Ouagadougou,Koudougou,Monument of National Heroes,Le Verdoyant,Lancaster Ouaga 2000,23.03,cultural,62,38,4.01,
Burundi,,Gitega,Bujumbura,Ruvubu National Park,Restaurant Chez Orphée,Burundi Palace Boutique Hotel,13.69,"natural beauty, cultural",62,38,4.01,
Cape Verde,Cabo Verde,Praia,Mindelo,Projeto Biodiversidade,The Bounty Beach Restaurant,Agua Hotels Sal Vila Verde,0.522331,"tropical paradise, cultural",62,38,4.01,
Cambodia,,Phnom Penh,Krong Siem,Angkor Wat,Phnom Penh Three Rivers Restaurant,Tanei Angkor Resort and Spa,17.42,"tropical paradise, cultural",52.8,47.2,3.57,
Cameroon,,Yaoundé,Douala,"
Mount Cameroon",The Famous,Hilton Yaounde,28.37,"natural beauty, cultural",63.5,36.5,2.99,
Canada,,Ottawa,Saint John,The Butchart Gardens,Five Sails Restaurant,Pangea Pod Hotel,40.1,"natural beauty, adventure, wildlife",45.2,54.8,4.81,
Cayman Islands,,George Town,Bodden Town,Seven Mile Beach,Ms. Piper's Kitchen,The Grand Caymanian Resort,0.073038,"tropical paradise, natural beauty, adventure, cultural, foodie",62,38,,
Central African Republic,CAR,Bangui,Mbaïki,Notre-Dame of Bangui Cathedral,Cafrina,Ledger Plaza Bangui,5.152,"wildlife, adventure",62,38,,
Chad,,N'Djamena,Sarh,Aloba Arch,Le Central,Radisson Blu Hotel,19.32,"natural beauty, cultural",62,38,,
Chile,,Santiago,Talca,Torres del Paine National Park,Castillo Forestal,Backpacker's Hostel Iquique,19.66,"natural beauty, adventure, foodie",59.3,40.7,4.33,
China,,Beijing,Shanghai,Emperor Qinshihuang's Mausoleum Site Museum,King's Joy,The Lily Pad Inn,1411,"historical, cultural, foodie",24.9,75.1,4.94,
Colombia,,Bogotá,Cartagena,Gold Museum,La Puerta Falsa Restaurant,La Brisa Loca,52.32,"natural beauty, cultural, foodie",61.2,38.8,4.08,
